date,profil,plateforme,nom_pool,tvl_usd,apr,score,gain_simule
2025-06-08 16:54:20,dynamique,spectra-v2,STUSD,132448.0,54046.6,77567.02,9886.03
2025-06-08 16:54:20,dynamique,berapaw,BULLISHV2,28784.0,28862.79,28839.15,9886.03
2025-06-08 16:54:20,agressif,beefy,NOICE-WETH,30528.0,138013.21,116516.17,11298.32
2025-06-08 16:54:20,agressif,spectra-v2,STUSD,132448.0,54046.6,69726.88,11298.32
2025-06-08 16:54:20,agressif,berapaw,BULLISHV2,28784.0,28862.79,28847.03,11298.32
2025-06-08 16:58:07,prudent,spectra-v2,STUSD,132448.0,54046.6,116767.72,2824.58
2025-06-08 16:58:07,prudent,beefy,NOICE-WETH,30528.0,138013.21,52025.04,2824.58
2025-06-08 16:58:07,prudent,berapaw,BULLISHV2,28784.0,28862.79,28799.76,2824.58
2025-06-08 16:58:07,modere,spectra-v2,STUSD,132448.0,54046.6,108927.58,4236.87
2025-06-08 16:58:07,modere,beefy,NOICE-WETH,30528.0,138013.21,62773.56,4236.87
2025-06-08 16:58:07,modere,berapaw,BULLISHV2,28784.0,28862.79,28807.64,4236.87
2025-06-08 16:58:07,equilibre,spectra-v2,STUSD,132448.0,54046.6,93247.3,7061.45
2025-06-08 16:58:07,equilibre,beefy,NOICE-WETH,30528.0,138013.21,84270.6,7061.45
2025-06-08 16:58:07,equilibre,berapaw,BULLISHV2,28784.0,28862.79,28823.4,7061.45
2025-06-08 16:58:07,dynamique,beefy,NOICE-WETH,30528.0,138013.21,105767.65,9886.03
2025-06-08 16:58:07,dynamique,spectra-v2,STUSD,132448.0,54046.6,77567.02,9886.03
2025-06-08 16:58:07,dynamique,berapaw,BULLISHV2,28784.0,28862.79,28839.15,9886.03
2025-06-08 16:58:07,agressif,beefy,NOICE-WETH,30528.0,138013.21,116516.17,11298.32
2025-06-08 16:58:07,agressif,spectra-v2,STUSD,132448.0,54046.6,69726.88,11298.32
2025-06-08 16:58:07,agressif,berapaw,BULLISHV2,28784.0,28862.79,28847.03,11298.32
2025-06-08 17:00:17,prudent,spectra-v2,STUSD,132448.0,54046.6,116767.72,2824.58
2025-06-08 17:00:17,prudent,beefy,NOICE-WETH,30528.0,138013.21,52025.04,2824.58
2025-06-08 17:00:17,prudent,berapaw,BULLISHV2,28784.0,28862.79,28799.76,2824.58
2025-06-08 17:00:17,modere,spectra-v2,STUSD,132448.0,54046.6,108927.58,4236.87
2025-06-08 17:00:17,modere,beefy,NOICE-WETH,30528.0,138013.21,62773.56,4236.87
2025-06-08 17:00:17,modere,berapaw,BULLISHV2,28784.0,28862.79,28807.64,4236.87
2025-06-08 17:00:17,equilibre,spectra-v2,STUSD,132448.0,54046.6,93247.3,7061.45
2025-06-08 17:00:17,equilibre,beefy,NOICE-WETH,30528.0,138013.21,84270.6,7061.45
2025-06-08 17:00:17,equilibre,berapaw,BULLISHV2,28784.0,28862.79,28823.4,7061.45
2025-06-08 17:00:17,dynamique,beefy,NOICE-WETH,30528.0,138013.21,105767.65,9886.03
2025-06-08 17:00:17,dynamique,spectra-v2,STUSD,132448.0,54046.6,77567.02,9886.03
2025-06-08 17:00:17,dynamique,berapaw,BULLISHV2,28784.0,28862.79,28839.15,9886.03
2025-06-08 17:00:17,agressif,beefy,NOICE-WETH,30528.0,138013.21,116516.17,11298.32
2025-06-08 17:00:17,agressif,spectra-v2,STUSD,132448.0,54046.6,69726.88,11298.32
2025-06-08 17:00:17,agressif,berapaw,BULLISHV2,28784.0,28862.79,28847.03,11298.32
2025-06-08 17:02:49,prudent,spectra-v2,STUSD,132448.0,54046.6,116767.72,2824.58
2025-06-08 17:02:49,prudent,beefy,NOICE-WETH,30528.0,138013.21,52025.04,2824.58
2025-06-08 17:02:49,prudent,berapaw,BULLISHV2,28784.0,28862.79,28799.76,2824.58
2025-06-08 17:02:49,modere,spectra-v2,STUSD,132448.0,54046.6,108927.58,4236.87
2025-06-08 17:02:49,modere,beefy,NOICE-WETH,30528.0,138013.21,62773.56,4236.87
2025-06-08 17:02:49,modere,berapaw,BULLISHV2,28784.0,28862.79,28807.64,4236.87
2025-06-08 17:02:49,equilibre,spectra-v2,STUSD,132448.0,54046.6,93247.3,7061.45
2025-06-08 17:02:49,equilibre,beefy,NOICE-WETH,30528.0,138013.21,84270.6,7061.45
2025-06-08 17:02:49,equilibre,berapaw,BULLISHV2,28784.0,28862.79,28823.4,7061.45
2025-06-08 17:02:49,dynamique,beefy,NOICE-WETH,30528.0,138013.21,105767.65,9886.03
2025-06-08 17:02:49,dynamique,spectra-v2,STUSD,132448.0,54046.6,77567.02,9886.03
2025-06-08 17:02:49,dynamique,berapaw,BULLISHV2,28784.0,28862.79,28839.15,9886.03
2025-06-08 17:02:49,agressif,beefy,NOICE-WETH,30528.0,138013.21,116516.17,11298.32
2025-06-08 17:02:49,agressif,spectra-v2,STUSD,132448.0,54046.6,69726.88,11298.32
2025-06-08 17:02:49,agressif,berapaw,BULLISHV2,28784.0,28862.79,28847.03,11298.32
2025-06-08 17:06:22,prudent,spectra-v2,STUSD,132448.0,54046.6,116767.72,2824.58
2025-06-08 17:06:22,prudent,beefy,NOICE-WETH,30528.0,138013.21,52025.04,2824.58
2025-06-08 17:06:22,prudent,berapaw,BULLISHV2,28784.0,28862.79,28799.76,2824.58
2025-06-08 17:06:22,modere,spectra-v2,STUSD,132448.0,54046.6,108927.58,4236.87
2025-06-08 17:06:22,modere,beefy,NOICE-WETH,30528.0,138013.21,62773.56,4236.87
2025-06-08 17:06:22,modere,berapaw,BULLISHV2,28784.0,28862.79,28807.64,4236.87
2025-06-08 17:06:22,equilibre,spectra-v2,STUSD,132448.0,54046.6,93247.3,7061.45
2025-06-08 17:06:22,equilibre,beefy,NOICE-WETH,30528.0,138013.21,84270.6,7061.45
2025-06-08 17:06:22,equilibre,berapaw,BULLISHV2,28784.0,28862.79,28823.4,7061.45
2025-06-08 17:06:22,dynamique,beefy,NOICE-WETH,30528.0,138013.21,105767.65,9886.03
2025-06-08 17:06:22,dynamique,spectra-v2,STUSD,132448.0,54046.6,77567.02,9886.03
2025-06-08 17:06:22,dynamique,berapaw,BULLISHV2,28784.0,28862.79,28839.15,9886.03
2025-06-08 17:06:22,agressif,beefy,NOICE-WETH,30528.0,138013.21,116516.17,11298.32
2025-06-08 17:06:22,agressif,spectra-v2,STUSD,132448.0,54046.6,69726.88,11298.32
2025-06-08 17:06:22,agressif,berapaw,BULLISHV2,28784.0,28862.79,28847.03,11298.32
2025-06-08 17:13:11,prudent,spectra-v2,STUSD,132448.0,54046.6,116767.72,2824.58
2025-06-08 17:13:11,prudent,beefy,NOICE-WETH,30528.0,138013.21,52025.04,2824.58
2025-06-08 17:13:11,prudent,berapaw,BULLISHV2,28784.0,28862.79,28799.76,2824.58
2025-06-08 17:13:11,modere,spectra-v2,STUSD,132448.0,54046.6,108927.58,4236.87
2025-06-08 17:13:11,modere,beefy,NOICE-WETH,30528.0,138013.21,62773.56,4236.87
2025-06-08 17:13:11,modere,berapaw,BULLISHV2,28784.0,28862.79,28807.64,4236.87
2025-06-08 17:13:11,equilibre,spectra-v2,STUSD,132448.0,54046.6,93247.3,7061.45
2025-06-08 17:13:11,equilibre,beefy,NOICE-WETH,30528.0,138013.21,84270.6,7061.45
2025-06-08 17:13:11,equilibre,berapaw,BULLISHV2,28784.0,28862.79,28823.4,7061.45
2025-06-08 17:13:11,dynamique,beefy,NOICE-WETH,30528.0,138013.21,105767.65,9886.03
2025-06-08 17:13:11,dynamique,spectra-v2,STUSD,132448.0,54046.6,77567.02,9886.03
2025-06-08 17:13:11,dynamique,berapaw,BULLISHV2,28784.0,28862.79,28839.15,9886.03
2025-06-08 17:13:11,agressif,beefy,NOICE-WETH,30528.0,138013.21,116516.17,11298.32
2025-06-08 17:13:11,agressif,spectra-v2,STUSD,132448.0,54046.6,69726.88,11298.32
2025-06-08 17:13:11,agressif,berapaw,BULLISHV2,28784.0,28862.79,28847.03,11298.32
